VenId,VenName,Location,Capacity,VenuDescription,Rental_price
1,Ruecker-Corkery,62004 Farwell Hill,445,Includes outdoor garden for ceremonies and open-air events,36000
2,Ankunding and Sons,009 Moulton Alley,1116,Complete event package with bar and DJ,15000
3,Harber-Altenwerth,66517 Cottonwood Hill,545,Complete event package with bar and DJ,72000
4,"Langosh, Robel and Kovacek",02566 Scoville Center,349,Complete event package with bar and DJ,62000
5,"Stehr, Will and Fadel",51 Forest Run Junction,943,"Includes dance floor, professional lighting and sound system",18000
6,"Smith, Reynolds and Walker",5453 Hintze Junction,161,Modern hall with full catering services,78000
7,"Zboncak, Grant and Barton",068 Mariners Cove Avenue,28,Panoramic view and luxurious atmosphere,49000
8,Bashirian LLC,62240 Heath Lane,589,Luxury venue for private and corporate events,63000
9,Hahn-Reynolds,34 Nelson Street,352,"Designed space for weddings, bar mitzvahs, and conferences",32000
10,Hirthe-Rice,1444 Ramsey Terrace,501,"Designed space for weddings, bar mitzvahs, and conferences",94000
11,O'Keefe LLC,0 Sullivan Hill,1026,"Includes dance floor, professional lighting and sound system",40000
12,Effertz and Sons,3 Oneill Trail,1112,"Designed space for weddings, bar mitzvahs, and conferences",14000
13,Smith Inc,926 Bluejay Center,1108,"Includes dance floor, professional lighting and sound system",24000
14,Langosh Group,19936 Arapahoe Lane,1481,Complete event package with bar and DJ,57000
15,DuBuque Group,3 Dapin Pass,791,Suitable for events up to 1000 guests,41000
16,Grant-Strosin,8 Graceland Junction,511,Unforgettable hosting experience in a grand hall,15000
17,"Tremblay, Predovic and Langosh",3906 Forest Run Junction,417,Suitable for events up to 1000 guests,18000
18,"Gutmann, Dooley and Stroman",1 Loftsgordon Hill,1266,"Designed space for weddings, bar mitzvahs, and conferences",64000
19,Carroll-Becker,47486 Londonderry Way,1165,Includes outdoor garden for ceremonies and open-air events,74000
20,"Cartwright, Wuckert and D'Amore",1448 Amoth Avenue,1083,Unforgettable hosting experience in a grand hall,81000
21,Jerde LLC,0 Prairie Rose Avenue,1016,Modern hall with full catering services,28000
22,Dibbert LLC,477 Springview Road,209,"Includes dance floor, professional lighting and sound system",35000
23,"Kertzmann, Hessel and Fahey",02325 Dapin Point,634,Panoramic view and luxurious atmosphere,14000
24,"Ondricka, Haag and Orn",85981 Sullivan Avenue,359,Unforgettable hosting experience in a grand hall,15000
25,Schroeder-Turner,232 Little Fleur Place,206,"Designed space for weddings, bar mitzvahs, and conferences",65000
26,Herzog LLC,73 Delaware Street,148,"Includes dance floor, professional lighting and sound system",38000
27,Heaney-Hahn,64834 Vernon Trail,1368,"Includes dance floor, professional lighting and sound system",40000
28,Heathcote Inc,2 Roth Court,55,Complete event package with bar and DJ,44000
29,O'Reilly-Bartell,88 Dottie Hill,13,Panoramic view and luxurious atmosphere,24000
30,Walter-Stracke,1183 Kensington Circle,1132,Unforgettable hosting experience in a grand hall,75000
31,"Rosenbaum, Zemlak and Grimes",7137 Myrtle Trail,1059,Modern hall with full catering services,78000
32,"Haley, Renner and Anderson",7 Evergreen Lane,1146,"Designed space for weddings, bar mitzvahs, and conferences",59000
33,"Yundt, Stehr and Flatley",73 Delladonna Pass,670,"Designed space for weddings, bar mitzvahs, and conferences",4000
34,"Crona, Emard and Harber",89 Paget Junction,88,Luxury venue for private and corporate events,1000
35,Hagenes-King,24053 Carpenter Road,944,Suitable for events up to 1000 guests,16000
36,Pacocha LLC,4 Schmedeman Pass,701,Modern hall with full catering services,84000
37,Veum LLC,20894 Pine View Street,398,Complete event package with bar and DJ,33000
38,"Blanda, Ward and Wisoky",953 Green Ridge Point,892,"Designed space for weddings, bar mitzvahs, and conferences",29000
39,"Botsford, Herman and Little",88812 Vernon Parkway,1443,"Designed space for weddings, bar mitzvahs, and conferences",61000
40,"Schowalter, Abshire and Feil",48 Weeping Birch Avenue,522,"Includes dance floor, professional lighting and sound system",16000
41,Rosenbaum Inc,80271 Spaight Court,942,Panoramic view and luxurious atmosphere,95000
42,"Leannon, Schuppe and Willms",8 Caliangt Circle,1017,Includes outdoor garden for ceremonies and open-air events,83000
43,Sawayn Group,6097 Havey Drive,640,"Includes dance floor, professional lighting and sound system",92000
44,"Hintz, Weimann and Gibson",948 Mockingbird Alley,499,Elegant design with adjacent parking,79000
45,Rohan-Bailey,7273 Troy Hill,1272,Complete event package with bar and DJ,31000
46,Vandervort-Olson,5251 Division Point,290,"Includes dance floor, professional lighting and sound system",27000
47,Fahey Group,7 Carpenter Place,846,Includes outdoor garden for ceremonies and open-air events,70000
48,Hauck-Weissnat,2 Manitowish Point,1040,Suitable for events up to 1000 guests,68000
49,"Halvorson, Wilderman and Cruickshank",777 Forest Dale Drive,1015,Luxury venue for private and corporate events,39000
50,Ullrich-Monahan,298 Hovde Circle,65,Modern hall with full catering services,87000
51,Pagac and Sons,5 Gulseth Hill,1386,Modern hall with full catering services,7000
52,"Armstrong, Herman and Wiza",18916 Fremont Circle,1233,Suitable for events up to 1000 guests,31000
53,Cartwright-Crona,753 Packers Trail,720,Panoramic view and luxurious atmosphere,47000
54,"Lynch, Kunde and Turcotte",5 Springs Trail,1023,Elegant design with adjacent parking,44000
55,Upton-Wintheiser,260 Leroy Plaza,1010,"Includes dance floor, professional lighting and sound system",74000
56,"Howe, Cole and Altenwerth",24702 Anniversary Parkway,597,Includes outdoor garden for ceremonies and open-air events,80000
57,"Romaguera, Haag and Renner",69 Clemons Place,296,Luxury venue for private and corporate events,61000
58,West-Crooks,187 Carioca Road,494,"Includes dance floor, professional lighting and sound system",90000
59,Baumbach Group,4267 Havey Parkway,98,Unforgettable hosting experience in a grand hall,87000
60,Schroeder LLC,0 Monument Hill,713,Luxury venue for private and corporate events,18000
61,Ondricka-Mosciski,1 Banding Hill,497,Suitable for events up to 1000 guests,80000
62,Macejkovic and Sons,5 Thompson Street,1090,Luxury venue for private and corporate events,10000
63,Littel-Donnelly,642 Pine View Pass,1105,Luxury venue for private and corporate events,71000
64,Olson Inc,17394 Forster Junction,226,Includes outdoor garden for ceremonies and open-air events,15000
65,"Goyette, Upton and Will",60825 Doe Crossing Plaza,1352,Includes outdoor garden for ceremonies and open-air events,68000
66,Bauch-Blanda,7040 Banding Court,641,Modern hall with full catering services,89000
67,"Hoppe, Feil and Hudson",5 Ruskin Court,1220,Panoramic view and luxurious atmosphere,13000
68,Hirthe LLC,6 Johnson Pass,1184,Elegant design with adjacent parking,71000
69,Kozey-Kris,38 Utah Terrace,28,Modern hall with full catering services,67000
70,Gottlieb Inc,55 Messerschmidt Street,1334,"Includes dance floor, professional lighting and sound system",40000
71,MacGyver-Schulist,46 Londonderry Lane,431,Panoramic view and luxurious atmosphere,41000
72,Lebsack-Herman,50822 Eastwood Circle,1371,Unforgettable hosting experience in a grand hall,79000
73,"Kihn, Witting and Lemke",37 Calypso Plaza,1095,"Includes dance floor, professional lighting and sound system",69000
74,"Hamill, Dibbert and Hudson",030 Butternut Drive,632,Includes outdoor garden for ceremonies and open-air events,12000
75,"Cremin, Dibbert and Bode",60 Eagan Plaza,1063,Modern hall with full catering services,69000
76,Emmerich and Sons,77 Banding Circle,109,Complete event package with bar and DJ,32000
77,"Keebler, Frami and Wisoky",188 Tennyson Crossing,1300,Panoramic view and luxurious atmosphere,74000
78,Orn and Sons,21 Acker Alley,1332,"Designed space for weddings, bar mitzvahs, and conferences",38000
79,Fay-Lebsack,73 Park Meadow Pass,91,Panoramic view and luxurious atmosphere,59000
80,Barton-Okuneva,7704 Orin Place,1213,"Includes dance floor, professional lighting and sound system",85000
81,"Beahan, Towne and Marks",831 Redwing Hill,1315,"Designed space for weddings, bar mitzvahs, and conferences",25000
82,Gottlieb-Lesch,35021 Superior Court,846,Modern hall with full catering services,8000
83,Hansen Inc,21145 1st Street,1391,Modern hall with full catering services,16000
84,Jakubowski Group,2465 Glacier Hill Crossing,1124,"Includes dance floor, professional lighting and sound system",17000
85,"Nitzsche, Windler and Auer",66856 La Follette Hill,1113,Unforgettable hosting experience in a grand hall,81000
86,"Corwin, Langworth and Smitham",98848 Everett Place,467,Elegant design with adjacent parking,34000
