EventId,EventType,EventDate,Available_seats,Additional_fees
1,Engagement,2026-04-15,825,Premium Bar
2,Wedding,2026-01-23,724,Floral Decorations
3,Brit/Circumcision,2025-12-09,724,Special Sound System
4,Birthday Party,2025-08-02,502,Transportation Services
5,Brit/Circumcision,2025-05-11,1043,Special Food Stations
6,Brit/Circumcision,2026-03-24,281,Video Photography
7,Engagement,2025-05-20,243,Special Sound System
8,Wedding,2025-07-22,287,VIP DJ
9,Bar Mitzvah,2026-07-27,59,Special Food Stations
10,Bar Mitzvah,2025-10-05,838,Special Food Stations
11,Engagement,2026-08-06,629,Video Photography
12,Birthday Party,2026-04-03,1292,Premium Bar
13,Brit/Circumcision,2025-11-22,754,Special Food Stations
14,Wedding,2025-06-24,641,Floral Decorations
15,Engagement,2026-11-13,337,Transportation Services
16,Bar Mitzvah,2026-07-01,1084,Transportation Services
17,Engagement,2025-05-21,825,Floral Decorations
18,Henna Ceremony,2026-03-06,373,Transportation Services
19,Brit/Circumcision,2026-10-30,201,Transportation Services
20,Bar Mitzvah,2025-08-14,140,Special Sound System
21,Henna Ceremony,2025-10-01,143,Special Food Stations
22,Engagement,2026-11-24,457,Special Sound System
23,Bat Mitzvah,2026-07-06,119,VIP DJ
24,Birthday Party,2025-05-28,139,Special Sound System
25,Bat Mitzvah,2025-12-13,1060,Premium Bar
26,Henna Ceremony,2026-10-15,1072,Video Photography
27,Bar Mitzvah,2026-06-03,676,Floral Decorations
28,Brit/Circumcision,2025-07-13,408,Special Sound System
29,Engagement,2026-05-18,1175,Transportation Services
30,Bar Mitzvah,2026-01-16,167,Special Sound System
31,Brit/Circumcision,2026-06-11,1206,Transportation Services
32,Brit/Circumcision,2026-09-18,71,Special Lighting
33,Wedding,2026-03-05,328,Video Photography
34,Bat Mitzvah,2025-12-15,986,VIP DJ
35,Bar Mitzvah,2026-08-11,1426,VIP DJ
36,Bar Mitzvah,2026-03-07,741,VIP DJ
37,Wedding,2025-07-08,65,Floral Decorations
38,Engagement,2026-11-24,715,Special Sound System
39,Henna Ceremony,2025-05-14,842,Floral Decorations
40,Bar Mitzvah,2025-09-02,597,Video Photography
41,Henna Ceremony,2025-05-09,981,Transportation Services
42,Henna Ceremony,2026-05-15,202,Special Food Stations
43,Henna Ceremony,2026-07-08,1101,Video Photography
44,Bat Mitzvah,2025-07-31,1155,VIP DJ
45,Brit/Circumcision,2026-11-05,107,Floral Decorations
46,Bar Mitzvah,2025-08-30,1152,Video Photography
47,Birthday Party,2026-04-29,1256,Transportation Services
48,Wedding,2026-09-26,936,Floral Decorations
49,Wedding,2026-09-29,886,VIP DJ
50,Henna Ceremony,2026-05-15,317,Transportation Services
51,Henna Ceremony,2025-08-13,1399,Special Lighting
52,Brit/Circumcision,2025-05-21,59,Special Sound System
53,Brit/Circumcision,2026-09-19,98,VIP DJ
54,Bat Mitzvah,2026-11-26,647,VIP DJ
55,Engagement,2025-11-02,1358,Special Sound System
56,Brit/Circumcision,2026-06-16,614,Video Photography
57,Bar Mitzvah,2026-08-15,1025,Special Sound System
58,Engagement,2026-10-01,329,Transportation Services
59,Bar Mitzvah,2025-11-03,282,VIP DJ
60,Brit/Circumcision,2026-06-20,1111,Special Food Stations
61,Wedding,2025-08-12,174,VIP DJ
62,Wedding,2026-02-20,135,Transportation Services
63,Engagement,2026-10-03,769,VIP DJ
64,Henna Ceremony,2026-02-09,409,Transportation Services
65,Brit/Circumcision,2026-08-25,401,Floral Decorations
66,Birthday Party,2026-06-16,711,Special Food Stations
67,Bar Mitzvah,2026-08-27,682,Transportation Services
68,Engagement,2025-07-19,340,Special Lighting
69,Birthday Party,2025-09-24,78,Transportation Services
70,Henna Ceremony,2025-08-19,1182,VIP DJ
71,Engagement,2026-11-17,747,Premium Bar
72,Engagement,2026-03-19,173,Special Food Stations
73,Wedding,2025-07-10,1164,Transportation Services
74,Brit/Circumcision,2025-08-11,398,Special Sound System
75,Henna Ceremony,2026-03-18,354,VIP DJ
76,Wedding,2025-10-22,849,Video Photography
77,Wedding,2025-08-22,186,Special Lighting
78,Henna Ceremony,2026-04-24,546,Floral Decorations
79,Wedding,2026-02-19,256,Special Lighting
80,Brit/Circumcision,2025-08-11,1365,Video Photography
81,Birthday Party,2026-06-10,413,Premium Bar
82,Brit/Circumcision,2025-12-17,1278,Special Food Stations
