EventId,EventType,EventDate,Available_seats,Additional_fees
1,Wedding,10/23/2025,1282,Premium Bar
2,Engagement,9/12/2025,123,Floral Decorations
3,Bar Mitzvah,7/14/2025,342,Special Food Stations
4,Wedding,9/22/2025,1459,Special Lighting
5,Henna Ceremony,6/14/2025,1041,Video Photography
6,Bat Mitzvah,8/29/2025,1161,Premium Bar
7,Wedding,10/18/2025,227,Special Sound System
8,Birthday Party,10/16/2025,772,Transportation Services
9,Engagement,11/20/2025,996,Floral Decorations
10,Wedding,5/17/2025,1475,Premium Bar
11,Brit/Circumcision,12/6/2025,1283,Special Lighting
12,Bar Mitzvah,12/18/2025,1229,VIP DJ
13,Wedding,12/29/2025,440,Special Sound System
14,Birthday Party,5/1/2025,122,Floral Decorations
15,Wedding,7/5/2025,760,Premium Bar
16,Engagement,12/17/2025,123,Special Lighting
17,Bachelorette Party,7/31/2025,930,Transportation Services
18,Wedding,7/8/2025,721,Premium Bar
19,Bat Mitzvah,12/2/2025,653,Special Food Stations
20,Wedding,6/3/2025,1076,VIP DJ
21,Bar Mitzvah,10/24/2025,1483,Floral Decorations
22,Birthday Party,7/23/2025,314,Special Sound System
23,Wedding,10/15/2025,508,Premium Bar
24,Engagement,9/2/2025,1110,Video Photography
25,Wedding,11/27/2025,159,Special Lighting
26,Birthday Party,5/23/2025,305,VIP DJ
27,Wedding,10/25/2025,535,Premium Bar
28,Engagement,9/4/2025,907,Floral Decorations
29,Bar Mitzvah,8/30/2025,417,Special Sound System
30,Wedding,8/24/2025,158,Premium Bar
31,Bat Mitzvah,8/25/2025,1050,Special Food Stations
32,Wedding,8/29/2025,729,Video Photography
33,Engagement,10/6/2025,14,Special Lighting
34,Wedding,8/6/2025,300,VIP DJ
35,Brit/Circumcision,10/14/2025,1374,Transportation Services
36,Wedding,10/19/2025,1401,Premium Bar
37,Bachelorette Party,4/21/2025,380,Floral Decorations
38,Wedding,5/24/2025,1273,Special Sound System
39,Bat Mitzvah,5/25/2025,754,Special Lighting
40,Wedding,9/20/2025,1242,Premium Bar
41,Bar Mitzvah,12/4/2025,794,VIP DJ
42,Wedding,7/17/2025,713,Floral Decorations
43,Engagement,11/29/2025,1227,Special Sound System
44,Wedding,9/5/2025,99,Premium Bar
45,Birthday Party,7/24/2025,117,Video Photography
46,Wedding,12/6/2025,283,Special Food Stations
47,Bat Mitzvah,11/18/2025,1407,Special Sound System
48,Wedding,10/9/2025,138,Premium Bar
49,Bar Mitzvah,8/1/2025,256,VIP DJ
50,Wedding,4/29/2025,652,Special Lighting
51,Bachelorette Party,9/20/2025,123,Floral Decorations
52,Wedding,4/15/2025,595,Premium Bar
53,Birthday Party,7/6/2025,1335,Transportation Services
54,Wedding,11/9/2025,1153,Special Sound System
55,Engagement,11/15/2025,317,Premium Bar
56,Wedding,6/15/2025,1111,Floral Decorations
57,Brit/Circumcision,10/2/2025,1136,Special Food Stations
58,Wedding,9/20/2025,924,VIP DJ
59,Bar Mitzvah,9/4/2025,838,Premium Bar
60,Wedding,10/22/2025,324,Special Sound System
61,Bat Mitzvah,10/26/2025,323,Special Lighting
62,Wedding,5/16/2025,167,Floral Decorations
63,Engagement,9/28/2025,1054,Premium Bar
64,Wedding,4/11/2025,756,Special Food Stations
65,Bachelorette Party,6/7/2025,262,VIP DJ
66,Wedding,8/24/2025,1388,Special Sound System
67,Engagement,12/25/2025,6,Premium Bar
68,Wedding,4/21/2025,107,Floral Decorations
69,Bar Mitzvah,4/8/2025,151,Special Lighting
70,Wedding,8/12/2025,355,Premium Bar
71,Bat Mitzvah,7/15/2025,1390,Special Sound System
72,Wedding,9/13/2025,1398,VIP DJ
73,Birthday Party,12/29/2025,1346,Transportation Services
74,Wedding,11/28/2025,1234,Premium Bar
75,Engagement,10/26/2025,1241,Floral Decorations
76,Wedding,12/20/2025,1080,Special Food Stations
77,Brit/Circumcision,10/15/2025,1132,Special Sound System
78,Wedding,8/4/2025,820,Premium Bar
79,Bar Mitzvah,11/10/2025,27,Video Photography
80,Wedding,7/31/2025,354,Special Lighting
81,Engagement,8/27/2025,460,Premium Bar
82,Wedding,11/17/2025,1482,VIP DJ
83,Bachelorette Party,9/9/2025,657,Floral Decorations
84,Wedding,4/12/2025,978,Special Sound System
85,Bat Mitzvah,8/10/2025,1413,Premium Bar
86,Wedding,6/29/2025,460,Special Food Stations
87,Bar Mitzvah,4/9/2025,272,Special Lighting
88,Wedding,9/27/2025,503,Premium Bar
89,Engagement,7/8/2025,1443,VIP DJ
90,Wedding,6/23/2025,442,Special Sound System
91,Birthday Party,11/18/2025,1012,Floral Decorations
92,Wedding,7/31/2025,77,Premium Bar
93,Bar Mitzvah,8/22/2025,1161,Transportation Services
94,Wedding,12/2/2025,1270,Special Sound System
95,Bat Mitzvah,11/29/2025,48,Video Photography
96,Wedding,12/26/2025,725,Premium Bar
97,Engagement,11/27/2025,158,Special Lighting
98,Bachelorette Party,8/12/2025,283,Special Food Stations
99,Wedding,9/22/2025,179,VIP DJ
100,Wedding,7/10/2025,476,Premium Bar
101,Bar Mitzvah,6/20/2025,555,Special Lighting
102,Wedding,12/29/2025,120,Special Sound System
103,Engagement,5/16/2025,214,Floral Decorations
104,Wedding,5/15/2025,283,Premium Bar
105,Bat Mitzvah,7/17/2025,489,VIP DJ
106,Wedding,8/12/2025,1084,Special Food Stations
107,Bachelorette Party,9/30/2025,153,Video Photography
108,Wedding,8/26/2025,1273,Premium Bar
109,Birthday Party,6/16/2025,305,Special Sound System
110,Wedding,7/5/2025,1045,Special Lighting
111,Engagement,4/6/2025,1078,Floral Decorations
112,Wedding,7/6/2025,89,Premium Bar
113,Bar Mitzvah,11/8/2025,159,Special Sound System
114,Wedding,10/15/2025,1245,VIP DJ
115,Brit/Circumcision,5/16/2025,1472,Premium Bar
116,Wedding,9/28/2025,229,Special Food Stations
117,Bat Mitzvah,8/28/2025,427,Transportation Services
118,Wedding,6/17/2025,33,Premium Bar
119,Engagement,9/6/2025,1487,Floral Decorations
120,Wedding,12/21/2025,1228,Special Sound System
121,Bar Mitzvah,5/31/2025,509,VIP DJ
122,Wedding,9/14/2025,649,Premium Bar
123,Bachelorette Party,11/18/2025,263,Special Lighting
124,Wedding,5/24/2025,157,Floral Decorations
125,Bat Mitzvah,12/1/2025,1365,Premium Bar
126,Wedding,4/8/2025,535,Special Food Stations
127,Engagement,9/7/2025,400,Special Sound System
128,Wedding,9/10/2025,534,Premium Bar
129,Birthday Party,10/20/2025,1351,Video Photography
130,Wedding,4/7/2025,27,Special Lighting
131,Bar Mitzvah,4/21/2025,117,Premium Bar
132,Wedding,7/27/2025,667,Floral Decorations
133,Brit/Circumcision,7/1/2025,1263,Special Sound System
134,Wedding,6/25/2025,1481,Premium Bar
135,Engagement,8/18/2025,22,VIP DJ
136,Wedding,12/22/2025,817,Special Food Stations
