RevId,Rating,RevDescription,RevDate,VenId
61119888,1,Would not recommend. The event was disorganized.,9/21/2024,1
122043518,1,Terrible experience. The venue was dirty and poorly maintained.,11/24/2024,2
102103258,3,"Not bad, but room for improvement.",7/9/2024,3
64107376,5,Absolutely wonderful venue! Highly recommend it.,1/12/2025,4
101104151,5,Fantastic experience. The staff and service were top-notch.,10/14/2024,5
122242092,2,Terrible experience. The venue was dirty and poorly maintained.,3/4/2025,6
81904808,4,We had an amazing time. Everything went perfectly.,2/17/2025,7
102107364,5,We had an amazing time. Everything went perfectly.,11/9/2024,8
103104120,3,"The event went smoothly, but the ambiance was lacking.",7/5/2024,9
63104668,1,Terrible experience. The venue was dirty and poorly maintained.,10/21/2024,10
264071752,3,"It was fine, but could have been better.",2/9/2025,11
42103473,4,We had an amazing time. Everything went perfectly.,3/16/2025,12
111924473,4,Absolutely wonderful venue! Highly recommend it.,1/1/2025,13
116312873,4,Absolutely wonderful venue! Highly recommend it.,10/12/2024,14
62001209,5,We had an amazing time. Everything went perfectly.,2/9/2025,15
65205329,1,Terrible experience. The venue was dirty and poorly maintained.,9/25/2024,16
102004331,4,Beautiful location and very well organized event.,2/23/2025,17
26012881,3,"The venue was okay, nothing special.",4/2/2024,18
62205908,3,"The venue was okay, nothing special.",8/3/2024,19
91400758,1,Would not recommend. The event was disorganized.,6/17/2024,20
62202134,4,Excellent venue. Will definitely book again!,9/13/2024,21
322271627,3,"Not bad, but room for improvement.",4/16/2024,22
123202280,2,Very disappointed. Staff was rude and unhelpful.,4/10/2024,23
73903312,4,Excellent venue. Will definitely book again!,1/21/2025,24
125108492,3,"The venue was okay, nothing special.",6/30/2024,25
44207283,3,"Average experience. Some things were good, others not so much.",9/14/2024,26
111321270,5,Beautiful location and very well organized event.,8/23/2024,27
31101211,2,Would not recommend. The event was disorganized.,3/4/2025,28
111905434,5,We had an amazing time. Everything went perfectly.,9/27/2024,29
42106331,3,"The event went smoothly, but the ambiance was lacking.",4/24/2024,30
103013101,5,Excellent venue. Will definitely book again!,5/5/2024,31
72412354,4,Absolutely wonderful venue! Highly recommend it.,6/18/2024,32
53185574,3,"Average experience. Some things were good, others not so much.",4/21/2024,33
253171430,2,Unpleasant atmosphere and poor service overall.,3/9/2025,34
21272626,2,Below expectations. Many things went wrong during the event.,10/19/2024,35
211170101,5,Excellent venue. Will definitely book again!,5/26/2024,36
